"","invierno_vector","primavera_vector","verano_vector","otoño_vector"
"1",2.408,1.795,1.748,1.885
"2",2.344,1.775,1.579,1.841
"3",2.245,1.68,1.556,1.774
"4",2.242,1.691,1.506,1.744
"5",2.261,1.675,1.498,1.771
"6",2.299,1.684,1.475,1.826
"7",3.031,1.407,1.84,1.639
"8",0.788,1e-06,4.769,1e-06
"9",1e-06,1e-06,29.995,1e-06
"10",1e-06,1e-06,1e-06,1e-06
"11",1e-06,1e-06,44.955,1e-06
"12",1e-06,1e-06,46.467,1e-06
"13",1e-06,1e-06,21.265,1e-06
"14",1e-06,1e-06,14.434,1e-06
"15",68.895,1e-06,1e-06,1e-06
"16",1e-06,1e-06,1e-06,33.739
"17",57.874,13.447,1e-06,53.338
"18",1e-06,39.059,25.979,1e-06
"19",3.39,26.21,42.892,1e-06
"20",5.842,2.107,30.693,3.001
"21",1.102,0.538,12.075,0.401
"22",3.143,2.104,1.529,3.648
"23",2.954,2.004,2.145,2.155
"24",2.619,1.82,1.876,1.866
